province,code,nickname,capital_city
ALBERTA,AB,The Energy Province,Edmonton
BRITISH COLUMBIA,BC,Beautiful British Columbia,Victoria
MANITOBA,MB,The 204,Winnipeg
NEW BRUNSWICK,NB,The Picture Province,Fredericton
NEWFOUNDLAND and LABRADOR ,NL,Canada's Happy Province,Saint-Jean de Terre-Neuve
NORTHWEST TERRITORIES,NT,Land of the Polar Bear,Yellowknife
NOVA SCOTIA,NS,Canada's Ocean Playground,Halifax
NUNAVUT,NU,Our Land,Iqaluit
ONTARIO,ON,Heartland Province,Toronto
PRINCE EDWARD ISLAND,PE,Birthplace of Confederation,Charlottetown
QUEBEC,QC,La Belle Province,Quebec
SASKATCHEWAN,SK,Canada's Bread and Butter,Regina
YUKON,YT,The Klondike,Whitehorse
