Date,Heure,kWh,AvgTemp,Season,Screens Plug
2019-05-11,00,0.46,8,Spring,No
2019-05-11,01,0.73,7,Spring,No
2019-05-11,02,0.49,6,Spring,No
2019-05-11,03,0.5,5,Spring,No
2019-05-11,04,0.53,5,Spring,No
2019-05-11,05,0.76,6,Spring,No
2019-05-11,06,0.58,6,Spring,No
2019-05-11,07,1.8,6,Spring,No
2019-05-11,08,1.87,7,Spring,No
2019-05-11,09,4.82,7,Spring,No
2019-05-11,10,1.48,8,Spring,No
2019-05-11,11,0.4,9,Spring,No
2019-05-11,12,1.56,9,Spring,No
2019-05-11,13,1.82,9,Spring,No
2019-05-11,14,2.51,10,Spring,No
2019-05-11,15,0.73,10,Spring,No
2019-05-11,16,0.97,11,Spring,No
2019-05-11,17,0.69,10,Spring,No
2019-05-11,18,0.78,8,Spring,No
2019-05-11,19,1.1,6,Spring,No
2019-05-11,20,1.02,5,Spring,No
2019-05-11,21,1.02,3,Spring,No
2019-05-11,22,1.66,3,Spring,No
2019-05-11,23,1.07,3,Spring,No
2019-05-12,00,0.87,1,Spring,No
2019-05-12,01,0.48,0,Spring,No
2019-05-12,02,0.75,-1,Spring,No
2019-05-12,03,0.55,-2,Spring,No
2019-05-12,04,0.47,0,Spring,No
2019-05-12,05,0.58,4,Spring,No
2019-05-12,06,0.53,8,Spring,No
2019-05-12,07,0.85,11,Spring,No
2019-05-12,08,0.58,12,Spring,No
2019-05-12,09,0.53,13,Spring,No
2019-05-12,10,0.82,15,Spring,No
2019-05-12,11,0.33,15,Spring,No
2019-05-12,12,0.99,16,Spring,No
2019-05-12,13,0.42,16,Spring,No
2019-05-12,14,1.2,16,Spring,No
2019-05-12,15,2.64,15,Spring,No
2019-05-12,16,0.68,15,Spring,No
2019-05-12,17,1.03,13,Spring,No
2019-05-12,18,0.7,11,Spring,No
2019-05-12,19,1,9,Spring,No
2019-05-12,20,1.04,9,Spring,No
2019-05-12,21,1.27,8,Spring,No
2019-05-12,22,0.65,6,Spring,No
2019-05-12,23,0.37,6,Spring,No
2019-05-13,00,0.45,5,Spring,No
2019-05-13,01,0.71,5,Spring,No
2019-05-13,02,0.55,4,Spring,No
2019-05-13,03,0.31,4,Spring,No
2019-05-13,04,0.46,4,Spring,No
2019-05-13,05,0.45,7,Spring,No
2019-05-13,06,1,8,Spring,No
2019-05-13,07,0.46,10,Spring,No
2019-05-13,08,0.48,11,Spring,No
2019-05-13,09,0.48,13,Spring,No
2019-05-13,10,0.81,14,Spring,No
2019-05-13,11,0.45,15,Spring,No
2019-05-13,12,0.86,15,Spring,No
2019-05-13,13,0.84,15,Spring,No
2019-05-13,14,0.48,14,Spring,No
2019-05-13,15,0.45,13,Spring,No
2019-05-13,16,1.02,13,Spring,No
2019-05-13,17,0.69,12,Spring,No
2019-05-13,18,0.94,11,Spring,No
2019-05-13,19,1.16,10,Spring,No
2019-05-13,20,2.21,9,Spring,No
2019-05-13,21,2.64,10,Spring,No
2019-05-13,22,0.71,9,Spring,No
2019-05-13,23,0.84,9,Spring,No
2019-05-14,00,0.42,9,Spring,No
2019-05-14,01,0.78,9,Spring,No
2019-05-14,02,0.43,9,Spring,No
2019-05-14,03,0.45,8,Spring,No
2019-05-14,04,0.45,8,Spring,No
2019-05-14,05,0.93,8,Spring,No
2019-05-14,06,0.4,7,Spring,No
2019-05-14,07,0.8,7,Spring,No
2019-05-14,08,0.61,7,Spring,No
2019-05-14,09,0.55,7,Spring,No
2019-05-14,10,0.63,8,Spring,No
2019-05-14,11,0.89,8,Spring,No
2019-05-14,12,0.99,9,Spring,No
2019-05-14,13,0.76,10,Spring,No
2019-05-14,14,2.96,10,Spring,No
2019-05-14,15,1.67,10,Spring,No
2019-05-14,16,1.5,9,Spring,No
2019-05-14,17,1.02,10,Spring,No
2019-05-14,18,0.94,9,Spring,No
2019-05-14,19,1.27,8,Spring,No
2019-05-14,20,1.02,8,Spring,No
2019-05-14,21,0.94,8,Spring,No
2019-05-14,22,1.03,7,Spring,No
2019-05-14,23,0.48,7,Spring,No
